zip,borough
10001,Manhattan
10451,Bronx
10002,Manhattan
10452,Bronx
10003,Manhattan
10453,Bronx
10004,Manhattan
10454,Bronx
10005,Manhattan
10455,Bronx
10006,Manhattan
10456,Bronx
10007,Manhattan
10457,Bronx
10009,Manhattan
10458,Bronx
10010,Manhattan
10459,Bronx
10011,Manhattan
10460,Bronx
10012,Manhattan
10461,Bronx
10013,Manhattan
10462,Bronx
10014,Manhattan
10463,Bronx
10015,Manhattan
10464,Bronx
10016,Manhattan
10465,Bronx
10017,Manhattan
10466,Bronx
10018,Manhattan
10467,Bronx
10019,Manhattan
10468,Bronx
10020,Manhattan
10469,Bronx
10021,Manhattan
10470,Bronx
10022,Manhattan
10471,Bronx
10023,Manhattan
10472,Bronx
10024,Manhattan
10473,Bronx
10025,Manhattan
10474,Bronx
10026,Manhattan
10475,Bronx
10027,Manhattan
11201,Brooklyn
10028,Manhattan
11203,Brooklyn
10029,Manhattan
11204,Brooklyn
10030,Manhattan
11205,Brooklyn
10031,Manhattan
11206,Brooklyn
10032,Manhattan
11207,Brooklyn
10033,Manhattan
11208,Brooklyn
10034,Manhattan
11209,Brooklyn
10035,Manhattan
11210,Brooklyn
10036,Manhattan
11211,Brooklyn
10037,Manhattan
11212,Brooklyn
10038,Manhattan
11213,Brooklyn
10039,Manhattan
11214,Brooklyn
10040,Manhattan
11215,Brooklyn
10041,Manhattan
11216,Brooklyn
10044,Manhattan
11217,Brooklyn
10045,Manhattan
11218,Brooklyn
10048,Manhattan
11219,Brooklyn
10055,Manhattan
11220,Brooklyn
10060,Manhattan
11221,Brooklyn
10069,Manhattan
11222,Brooklyn
10090,Manhattan
11223,Brooklyn
10095,Manhattan
11224,Brooklyn
10098,Manhattan
11225,Brooklyn
10099,Manhattan
11226,Brooklyn
10103,Manhattan
11228,Brooklyn
10104,Manhattan
11229,Brooklyn
10105,Manhattan
11230,Brooklyn
10106,Manhattan
11231,Brooklyn
10107,Manhattan
11232,Brooklyn
10110,Manhattan
11233,Brooklyn
10111,Manhattan
11234,Brooklyn
10112,Manhattan
11235,Brooklyn
10115,Manhattan
11236,Brooklyn
10118,Manhattan
11237,Brooklyn
10119,Manhattan
11238,Brooklyn
10120,Manhattan
11239,Brooklyn
10121,Manhattan
11241,Brooklyn
10122,Manhattan
11242,Brooklyn
10123,Manhattan
11243,Brooklyn
10128,Manhattan
11249,Brooklyn
10151,Manhattan
11252,Brooklyn
10152,Manhattan
11256,Brooklyn
10153,Manhattan
10154,Manhattan
10155,Manhattan
10158,Manhattan
10161,Manhattan
10162,Manhattan
10165,Manhattan
10166,Manhattan
10167,Manhattan
10168,Manhattan
10169,Manhattan
10170,Manhattan
10171,Manhattan
10172,Manhattan
10173,Manhattan
10174,Manhattan
10175,Manhattan
10176,Manhattan
10177,Manhattan
10178,Manhattan
10199,Manhattan
10270,Manhattan
10271,Manhattan
10278,Manhattan
10279,Manhattan
10280,Manhattan
10281,Manhattan
10282,Manhattan
10301,Staten
10302,Staten
10303,Staten
10304,Staten
10305,Staten
10306,Staten
10307,Staten
10308,Staten
10309,Staten
10310,Staten
10311,Staten
10312,Staten
10314,Staten
11004,Queens
11101,Queens
11102,Queens
11103,Queens
11104,Queens
11105,Queens
11106,Queens
11109,Queens
11351,Queens
11354,Queens
11355,Queens
11356,Queens
11357,Queens
11358,Queens
11359,Queens
11360,Queens
11361,Queens
11362,Queens
11363,Queens
11364,Queens
11365,Queens
11366,Queens
11367,Queens
11368,Queens
11369,Queens
11370,Queens
11371,Queens
11372,Queens
11373,Queens
11374,Queens
11375,Queens
11377,Queens
11378,Queens
11379,Queens
11385,Queens
11411,Queens
11412,Queens
11413,Queens
11414,Queens
11415,Queens
11416,Queens
11417,Queens
11418,Queens
11419,Queens
11420,Queens
11421,Queens
11422,Queens
11423,Queens
11426,Queens
11427,Queens
11428,Queens
11429,Queens
11430,Queens
11432,Queens
11433,Queens
11434,Queens
11435,Queens
11436,Queens
11691,Queens
11692,Queens
11693,Queens
11694,Queens
11697,Queens
